id,family,genus,taxon,trait,dstate,value,units,N
41,Rhamnaceae,Ceanothus,Ceanothus diversifolius,Blade area (c),NA,0.94,cm2,1
42,Rhamnaceae,Ceanothus,Ceanothus ferrisiae,Blade area (c),NA,1.58,cm2,1
43,Rhamnaceae,Ceanothus,Ceanothus foliosus,Blade area (c),NA,0.637,cm2,3
44,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. exaltatus,Blade area (c),NA,5.29,cm2,2
45,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. gloriosus,Blade area (c),NA,0.95,cm2,1
46,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. porrectus,Blade area (c),NA,1.75,cm2,2
47,Rhamnaceae,Ceanothus,Ceanothus griseus,Blade area (c),NA,3.32,cm2,4
48,Rhamnaceae,Ceanothus,Ceanothus hearstiorum,Blade area (c),NA,1.63,cm2,4
49,Rhamnaceae,Ceanothus,Ceanothus impressus,Blade area (c),NA,0.117,cm2,3
50,Rhamnaceae,Ceanothus,Ceanothus incanus,Blade area (c),NA,5.42,cm2,2
51,Rhamnaceae,Ceanothus,Ceanothus integerrimus,Blade area (c),NA,4.36,cm2,3
52,Rhamnaceae,Ceanothus,Ceanothus jepsonii var. jepsonii,Blade area (c),NA,1.88,cm2,2
53,Rhamnaceae,Ceanothus,Ceanothus lemmonii,Blade area (c),NA,4.77,cm2,1
54,Rhamnaceae,Ceanothus,Ceanothus leucodermis,Blade area (c),NA,3.22,cm2,1
55,Rhamnaceae,Ceanothus,Ceanothus maritimus,Blade area (c),NA,1.15,cm2,7
56,Rhamnaceae,Ceanothus,Ceanothus masonii,Blade area (c),NA,1.77,cm2,2
57,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. insularis,Blade area (c),NA,1.35,cm2,2
58,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. megacarpus,Blade area (c),NA,4.3,cm2,1
59,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. oliganthus,Blade area (c),NA,3.04,cm2,3
60,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. sorediatus,Blade area (c),NA,2.45,cm2,3
61,Rhamnaceae,Ceanothus,Ceanothus papillosus,Blade area (c),NA,2.55,cm2,2
62,Rhamnaceae,Ceanothus,Ceanothus prostratus,Blade area (c),NA,0.63,cm2,1
63,Rhamnaceae,Ceanothus,Ceanothus purpureus,Blade area (c),NA,2.6,cm2,2
64,Rhamnaceae,Ceanothus,Ceanothus spinosus,Blade area (c),NA,4.05,cm2,1
65,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus,Blade area (c),NA,4.83,cm2,11
66,Rhamnaceae,Ceanothus,Ceanothus tomentosus,Blade area (c),NA,1.97,cm2,1
67,Rhamnaceae,Ceanothus,Ceanothus velutinus var. hookeri,Blade area (c),NA,35.4,cm2,1
68,Rhamnaceae,Ceanothus,Ceanothus verrucosus,Blade area (c),NA,1.71,cm2,1
69,Rosaceae,Cercocarpus,Cercocarpus betuloides,Blade area (c),NA,3.83,cm2,10
70,Rosaceae,Cercocarpus,Cercocarpus betuloides var. betuloides,Blade area (c),NA,1.41,cm2,1
71,Rosaceae,Cercocarpus,Cercocarpus intricatus,Blade area (c),NA,0.12,cm2,5
72,Rosaceae,Cercocarpus,Cercocarpus ledifolius,Blade area (c),NA,0.841,cm2,8
73,Rosaceae,Cercocarpus,Cercocarpus minutiflorus,Blade area (c),NA,3.01,cm2,1
74,Rosaceae,Cercocarpus,Cercocarpus traskiae,Blade area (c),NA,7.26,cm2,2
75,Rosaceae,Chamaebatiaria,Chamaebatiaria millefolium,Blade area (c),NA,1.38,cm2,6
76,Ranunculaceae,Clematis,Clematis lasiantha,Blade area (c),NA,6.25,cm2,1
77,Rutaceae,Cneoridium,Cneoridium dumosum,Blade area (c),NA,0.484,cm2,1
78,Ericaceae,Comarostaphylis,Comarostaphylis diversifolia ssp. diversifolia,Blade area (c),NA,11.6,cm2,1
79,Ericaceae,Comarostaphylis,Comarostaphylis diversifolia ssp. planifolia,Blade area (c),NA,11.7,cm2,2
80,Cornaceae,Cornus,Cornus glabrata,Blade area (c),NA,14.5,cm2,1
81,Cornaceae,Cornus,Cornus sericea ssp. sericea,Blade area (c),NA,21.9,cm2,1
82,Betulaceae,Corylus,Corylus cornuta var. californica,Blade area (c),NA,33.2,cm2,1
83,Rosaceae,Cotoneaster,Cotoneaster franchetii,Blade area (c),NA,5.18,cm2,2
84,Rosaceae,Crataegus,Crataegus douglasii,Blade area (c),NA,24.8,cm2,1
85,Thymelaeaceae,Dirca,Dirca occidentalis,Blade area (c),NA,12,cm2,1
86,Hydrophyllaceae,Eriodictyon,Eriodictyon californicum,Blade area (c),NA,9.37,cm2,1
87,Hydrophyllaceae,Eriodictyon,Eriodictyon crassifolium var. nigrescens,Blade area (c),NA,16.4,cm2,1
88,Asteraceae,Eriophyllum,Eriophyllum confertiflorum var. confertiflorum,Blade area (c),NA,0.169,cm2,1
89,Sterculiaceae,Fremontodendron,Fremontodendron californicum,Blade area (c),NA,3.71,cm2,2
90,Garryaceae,Garrya,Garrya congdonii,Blade area (c),NA,13.3,cm2,3
91,Garryaceae,Garrya,Garrya elliptica,Blade area (c),NA,17.6,cm2,8
92,Garryaceae,Garrya,Garrya flavescens,Blade area (c),NA,15.1,cm2,2
93,Garryaceae,Garrya,Garrya fremontii,Blade area (c),NA,15.3,cm2,3
94,Garryaceae,Garrya,Garrya veatchii,Blade area (c),NA,10.8,cm2,2
95,Rosaceae,Heteromeles,Heteromeles arbutifolia,Blade area (c),NA,13.7,cm2,22
96,Rosaceae,Holodiscus,Holodiscus discolor,Blade area (c),NA,9.49,cm2,3
97,Juglandaceae,Juglans,Juglans californica var. hindsii,Blade area (c),NA,18.4,cm2,1
98,Lamiaceae,Lepechinia,Lepechinia calycina,Blade area (c),NA,12.2,cm2,1
99,Caprifoliaceae,Lonicera,Lonicera hispidula var. vacillans,Blade area (c),NA,6.28,cm2,1
100,Fabaceae,Lotus,Lotus scoparius var. scoparius,Blade area (c),NA,0.05,cm2,1
101,Rosaceae,Lyonothamnus,Lyonothamnus floribundus ssp. aspleniifolius,Blade area (c),NA,23.3,cm2,2
102,Anacardiaceae,Malosma,Malosma laurina,Blade area (c),NA,15.6,cm2,8
103,Rosaceae,Malus,Malus fusca,Blade area (c),NA,23.9,cm2,2
104,Scrophulariaceae,Mimulus,Mimulus aurantiacus,Blade area (c),NA,2.31,cm2,1
105,Rosaceae,Neviusia,Neviusia cliftonii,Blade area (c),NA,10.7,cm2,2
106,Rosaceae,Oemleria,Oemleria cerasiformis,Blade area (c),NA,13.9,cm2,2
107,Rosaceae,Physocarpus,Physocarpus capitatus,Blade area (c),NA,19,cm2,5
108,Anacardiaceae,Pistacia,Pistacia atlantica,Blade area (c),NA,3.4,cm2,2
109,Salicaceae,Populus,Populus balsamifera ssp. trichocarpa,Blade area (c),NA,27.7,cm2,1
110,Rosaceae,Prunus,Prunus andersonii,Blade area (c),NA,0.517,cm2,3
111,Rosaceae,Prunus,Prunus cerasifera,Blade area (c),NA,7.43,cm2,2
112,Rosaceae,Prunus,Prunus dulcis,Blade area (c),NA,10.8,cm2,2
113,Rosaceae,Prunus,Prunus emarginata,Blade area (c),NA,5.54,cm2,4
114,Rosaceae,Prunus,Prunus fasciculata,Blade area (c),NA,0.138,cm2,5
115,Rosaceae,Prunus,Prunus fremontii,Blade area (c),NA,1.34,cm2,2
116,Rosaceae,Prunus,Prunus ilicifolia ssp. ilicifolia,Blade area (c),NA,9.24,cm2,9
117,Rosaceae,Prunus,Prunus ilicifolia ssp. lyonii,Blade area (c),NA,31.5,cm2,5
118,Rosaceae,Prunus,Prunus subcordata,Blade area (c),NA,12.1,cm2,3
119,Pinaceae,Pseudotsuga,Pseudotsuga menziesii var. menziesii,Blade area (c),NA,0.275,cm2,1
120,Rosaceae,Purshia,Purshia mexicana var. stansburyana,Blade area (c),NA,0.223,cm2,6
121,Rosaceae,Purshia,Purshia tridentata var. glandulosa,Blade area (c),NA,0.14,cm2,3
122,Rosaceae,Purshia,Purshia tridentata var. tridentata,Blade area (c),NA,0.207,cm2,3
123,Rosaceae,Pyracantha,Pyracantha angustifolia,Blade area (c),NA,1.78,cm2,1
124,Fagaceae,Quercus,Quercus agrifolia var. agrifolia,Blade area (c),NA,11.1,cm2,1
125,Fagaceae,Quercus,Quercus douglasii,Blade area (c),NA,10.4,cm2,1
126,Fagaceae,Quercus,Quercus durata,Blade area (c),NA,2.45,cm2,1
127,Fagaceae,Quercus,Quercus durata var. durata,Blade area (c),NA,4.66,cm2,2
128,Fagaceae,Quercus,Quercus kelloggii,Blade area (c),NA,43.7,cm2,1
129,Fagaceae,Quercus,Quercus lobata,Blade area (c),NA,24.9,cm2,1
130,Fagaceae,Quercus,Quercus palmeri,Blade area (c),NA,6.13,cm2,1
131,Fagaceae,Quercus,Quercus parvula,Blade area (c),NA,5.45,cm2,1
132,Rhamnaceae,Rhamnus,Rhamnus californica ssp. californica,Blade area (c),NA,10.7,cm2,10
133,Rhamnaceae,Rhamnus,Rhamnus crocea,Blade area (c),NA,0.806,cm2,5
134,Rhamnaceae,Rhamnus,Rhamnus ilicifolia,Blade area (c),NA,1.24,cm2,1
135,Rhamnaceae,Rhamnus,Rhamnus pirifolia,Blade area (c),NA,10.3,cm2,2
136,Rhamnaceae,Rhamnus,Rhamnus purshiana,Blade area (c),NA,36.7,cm2,3
137,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. crassifolia,Blade area (c),NA,2.89,cm2,1
138,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. tomentella,Blade area (c),NA,10.4,cm2,3
139,Anacardiaceae,Rhus,Rhus integrifolia,Blade area (c),NA,11.6,cm2,6
140,Anacardiaceae,Rhus,Rhus ovata,Blade area (c),NA,12.9,cm2,4
141,Anacardiaceae,Rhus,Rhus trilobata,Blade area (c),NA,3.24,cm2,5
142,Grossulariaceae,Ribes,Ribes californicum var. californicum,Blade area (c),NA,2.84,cm2,1
143,Grossulariaceae,Ribes,Ribes divaricatum var. pubiflorum,Blade area (c),NA,12,cm2,1
144,Grossulariaceae,Ribes,Ribes malvaceum var. malvaceum,Blade area (c),NA,12.4,cm2,1
145,Grossulariaceae,Ribes,Ribes sanguineum var. glutinosum,Blade area (c),NA,33,cm2,1
146,Rosaceae,Rosa,Rosa californica,Blade area (c),NA,2.49,cm2,1
147,Rosaceae,Rosa,Rosa spithamea,Blade area (c),NA,1.66,cm2,1
148,Rosaceae,Rubus,Rubus parviflorus,Blade area (c),NA,153,cm2,1
149,Rosaceae,Rubus,Rubus ursinus,Blade area (c),NA,17.9,cm2,1
150,Salicaceae,Salix,Salix lasiolepis,Blade area (c),NA,19.7,cm2,1
151,Salicaceae,Salix,Salix lucida ssp. lasiandra,Blade area (c),NA,19.7,cm2,1
152,Caprifoliaceae,Sambucus,Sambucus mexicana,Blade area (c),NA,22.9,cm2,1
153,Anacardiaceae,Schinus,Schinus molle,Blade area (c),NA,1.62,cm2,3
154,Anacardiaceae,Schinus,Schinus terebinthifolius,Blade area (c),NA,3.84,cm2,2
155,Taxodiaceae,Sequoia,Sequoia sempervirens,Blade area (c),NA,0.246,cm2,1
156,Solanaceae,Solanum,Solanum umbelliferum,Blade area (c),NA,2.02,cm2,1
157,Rosaceae,Sorbus,Sorbus aucuparia,Blade area (c),NA,6.57,cm2,1
158,Rosaceae,Sorbus,Sorbus scopulina var. cascadensis,Blade area (c),NA,7.48,cm2,3
159,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus var. laevigatus,Blade area (c),NA,5.19,cm2,1
160,Caprifoliaceae,Symphoricarpos,Symphoricarpos mollis,Blade area (c),NA,5,cm2,1
161,Anacardiaceae,Toxicodendron,Toxicodendron diversilobum,Blade area (c),NA,13.7,cm2,3
162,Lauraceae,Umbellularia,Umbellularia californica,Blade area (c),NA,16.2,cm2,1
163,Ericaceae,Xylococcus,Xylococcus bicolor,Blade area (c),NA,6.56,cm2,3
164,Aceraceae,Acer,Acer macrophyllum,Specific leaf area,NA,29.5,mm2 mg-1,1
165,Aceraceae,Acer,Acer negundo var. californicum,Specific leaf area,NA,26.4,mm2 mg-1,1
166,Rosaceae,Adenostoma,Adenostoma fasciculatum,Specific leaf area,NA,4.75,mm2 mg-1,11
167,Rosaceae,Adenostoma,Adenostoma sparsifolium,Specific leaf area,NA,6.59,mm2 mg-1,6
168,Rhamnaceae,Adolphia,Adolphia californica,Specific leaf area,NA,7.92,mm2 mg-1,2
169,Hippocastanaceae,Aesculus,Aesculus californica,Specific leaf area,NA,18.3,mm2 mg-1,1
170,Betulaceae,Alnus,Alnus rhombifolia,Specific leaf area,NA,28.8,mm2 mg-1,1
171,Rosaceae,Amelanchier,Amelanchier utahensis,Specific leaf area,NA,10.5,mm2 mg-1,3
172,Ericaceae,Arbutus,Arbutus menziesii,Specific leaf area,NA,6.8,mm2 mg-1,5
173,Ericaceae,Arctostaphylos,Arctostaphylos andersonii,Specific leaf area,NA,4.87,mm2 mg-1,1
174,Ericaceae,Arctostaphylos,Arctostaphylos bakeri ssp. bakeri,Specific leaf area,NA,4.23,mm2 mg-1,1
175,Ericaceae,Arctostaphylos,Arctostaphylos hispidula,Specific leaf area,NA,4.97,mm2 mg-1,1
176,Ericaceae,Arctostaphylos,Arctostaphylos hookeri ssp. franciscana,Specific leaf area,NA,4.16,mm2 mg-1,2
177,Ericaceae,Arctostaphylos,Arctostaphylos hookeri ssp. hookeri,Specific leaf area,NA,4.31,mm2 mg-1,1
178,Ericaceae,Arctostaphylos,Arctostaphylos manzanita ssp. manzanita,Specific leaf area,NA,4.49,mm2 mg-1,2
179,Ericaceae,Arctostaphylos,Arctostaphylos nummularia,Specific leaf area,NA,5.2,mm2 mg-1,6
180,Ericaceae,Arctostaphylos,Arctostaphylos obispoensis,Specific leaf area,NA,3.9,mm2 mg-1,1
181,Ericaceae,Arctostaphylos,Arctostaphylos pajaroensis,Specific leaf area,NA,4.92,mm2 mg-1,2
182,Ericaceae,Arctostaphylos,Arctostaphylos pilosula,Specific leaf area,NA,5.6,mm2 mg-1,1
183,Ericaceae,Arctostaphylos,Arctostaphylos pumila,Specific leaf area,NA,5.1,mm2 mg-1,1
184,Ericaceae,Arctostaphylos,Arctostaphylos purissima,Specific leaf area,NA,4.82,mm2 mg-1,1
185,Ericaceae,Arctostaphylos,Arctostaphylos rudis,Specific leaf area,NA,4.34,mm2 mg-1,1
186,Ericaceae,Arctostaphylos,Arctostaphylos stanfordiana ssp. decumbens,Specific leaf area,NA,4.46,mm2 mg-1,1
187,Ericaceae,Arctostaphylos,Arctostaphylos stanfordiana ssp. stanfordiana,Specific leaf area,NA,4.63,mm2 mg-1,1
188,Ericaceae,Arctostaphylos,Arctostaphylos tomentosa ssp. crustacea,Specific leaf area,NA,5.03,mm2 mg-1,3
189,Ericaceae,Arctostaphylos,Arctostaphylos tomentosa ssp. rosei,Specific leaf area,NA,4.47,mm2 mg-1,2
190,Ericaceae,Arctostaphylos,Arctostaphylos tomentosa ssp. tomentosa,Specific leaf area,NA,4.56,mm2 mg-1,2
191,Ericaceae,Arctostaphylos,Arctostaphylos uva-ursi,Specific leaf area,NA,5.42,mm2 mg-1,3
192,Ericaceae,Arctostaphylos,Arctostaphylos wellsii,Specific leaf area,NA,5.37,mm2 mg-1,1
193,Asteraceae,Artemisia,Artemisia californica,Specific leaf area,NA,11.1,mm2 mg-1,1
194,Rosaceae,Aruncus,Aruncus dioicus var. pubescens,Specific leaf area,NA,37.6,mm2 mg-1,3
195,Asteraceae,Baccharis,Baccharis pilularis,Specific leaf area,NA,12.6,mm2 mg-1,1
196,Rhamnaceae,Ceanothus,Ceanothus arboreus,Specific leaf area,NA,9.28,mm2 mg-1,3
197,Rhamnaceae,Ceanothus,Ceanothus cordulatus,Specific leaf area,NA,26.9,mm2 mg-1,2
198,Rhamnaceae,Ceanothus,Ceanothus crassifolius,Specific leaf area,NA,2.99,mm2 mg-1,3
199,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. cuneatus,Specific leaf area,NA,5.22,mm2 mg-1,6
200,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. fascicularis,Specific leaf area,NA,4.94,mm2 mg-1,2
201,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. rigidus,Specific leaf area,NA,4.64,mm2 mg-1,2
202,Rhamnaceae,Ceanothus,Ceanothus cyaneus,Specific leaf area,NA,8.49,mm2 mg-1,1
203,Rhamnaceae,Ceanothus,Ceanothus divergens,Specific leaf area,NA,3.55,mm2 mg-1,1
204,Rhamnaceae,Ceanothus,Ceanothus diversifolius,Specific leaf area,NA,12.1,mm2 mg-1,1
205,Rhamnaceae,Ceanothus,Ceanothus ferrisiae,Specific leaf area,NA,2.92,mm2 mg-1,1
206,Rhamnaceae,Ceanothus,Ceanothus foliosus,Specific leaf area,NA,7.16,mm2 mg-1,3
207,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. exaltatus,Specific leaf area,NA,4.84,mm2 mg-1,2
208,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. gloriosus,Specific leaf area,NA,4.37,mm2 mg-1,2
209,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. porrectus,Specific leaf area,NA,6.4,mm2 mg-1,2
210,Rhamnaceae,Ceanothus,Ceanothus griseus,Specific leaf area,NA,6.53,mm2 mg-1,5
211,Rhamnaceae,Ceanothus,Ceanothus hearstiorum,Specific leaf area,NA,8.87,mm2 mg-1,4
212,Rhamnaceae,Ceanothus,Ceanothus impressus,Specific leaf area,NA,7.33,mm2 mg-1,3
213,Rhamnaceae,Ceanothus,Ceanothus incanus,Specific leaf area,NA,8.03,mm2 mg-1,2
214,Rhamnaceae,Ceanothus,Ceanothus integerrimus,Specific leaf area,NA,11.5,mm2 mg-1,4
215,Rhamnaceae,Ceanothus,Ceanothus jepsonii var. jepsonii,Specific leaf area,NA,2.94,mm2 mg-1,2
216,Rhamnaceae,Ceanothus,Ceanothus lemmonii,Specific leaf area,NA,14.7,mm2 mg-1,1
217,Rhamnaceae,Ceanothus,Ceanothus leucodermis,Specific leaf area,NA,8.58,mm2 mg-1,1
218,Rhamnaceae,Ceanothus,Ceanothus maritimus,Specific leaf area,NA,3.58,mm2 mg-1,8
219,Rhamnaceae,Ceanothus,Ceanothus masonii,Specific leaf area,NA,4.84,mm2 mg-1,2
220,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. insularis,Specific leaf area,NA,3.36,mm2 mg-1,2
221,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. megacarpus,Specific leaf area,NA,4.95,mm2 mg-1,1
222,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. oliganthus,Specific leaf area,NA,9.71,mm2 mg-1,3
223,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. sorediatus,Specific leaf area,NA,8.38,mm2 mg-1,3
224,Rhamnaceae,Ceanothus,Ceanothus papillosus,Specific leaf area,NA,7.94,mm2 mg-1,2
225,Rhamnaceae,Ceanothus,Ceanothus prostratus,Specific leaf area,NA,3.91,mm2 mg-1,2
226,Rhamnaceae,Ceanothus,Ceanothus purpureus,Specific leaf area,NA,3.45,mm2 mg-1,2
227,Rhamnaceae,Ceanothus,Ceanothus spinosus,Specific leaf area,NA,7.53,mm2 mg-1,1
228,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus,Specific leaf area,NA,16.2,mm2 mg-1,11
229,Rhamnaceae,Ceanothus,Ceanothus tomentosus,Specific leaf area,NA,7.27,mm2 mg-1,1
230,Rhamnaceae,Ceanothus,Ceanothus velutinus var. hookeri,Specific leaf area,NA,6.97,mm2 mg-1,1
231,Rhamnaceae,Ceanothus,Ceanothus verrucosus,Specific leaf area,NA,3.96,mm2 mg-1,1
232,Rosaceae,Cercocarpus,Cercocarpus betuloides,Specific leaf area,NA,6.27,mm2 mg-1,10
233,Rosaceae,Cercocarpus,Cercocarpus betuloides var. betuloides,Specific leaf area,NA,7.05,mm2 mg-1,1
234,Rosaceae,Cercocarpus,Cercocarpus intricatus,Specific leaf area,NA,2.71,mm2 mg-1,5
235,Rosaceae,Cercocarpus,Cercocarpus ledifolius,Specific leaf area,NA,2.4,mm2 mg-1,8
236,Rosaceae,Cercocarpus,Cercocarpus minutiflorus,Specific leaf area,NA,8.74,mm2 mg-1,1
237,Rosaceae,Cercocarpus,Cercocarpus traskiae,Specific leaf area,NA,8.25,mm2 mg-1,2
238,Rosaceae,Chamaebatiaria,Chamaebatiaria millefolium,Specific leaf area,NA,12.9,mm2 mg-1,6
239,Ranunculaceae,Clematis,Clematis lasiantha,Specific leaf area,NA,14.5,mm2 mg-1,1
240,Rutaceae,Cneoridium,Cneoridium dumosum,Specific leaf area,NA,5.82,mm2 mg-1,1
241,Ericaceae,Comarostaphylis,Comarostaphylis diversifolia ssp. diversifolia,Specific leaf area,NA,3.34,mm2 mg-1,1
242,Ericaceae,Comarostaphylis,Comarostaphylis diversifolia ssp. planifolia,Specific leaf area,NA,4.05,mm2 mg-1,2
243,Cornaceae,Cornus,Cornus glabrata,Specific leaf area,NA,24.6,mm2 mg-1,1
244,Cornaceae,Cornus,Cornus sericea ssp. sericea,Specific leaf area,NA,25,mm2 mg-1,1
245,Betulaceae,Corylus,Corylus cornuta var. californica,Specific leaf area,NA,30.2,mm2 mg-1,1
246,Rosaceae,Cotoneaster,Cotoneaster franchetii,Specific leaf area,NA,10.1,mm2 mg-1,2
247,Rosaceae,Crataegus,Crataegus douglasii,Specific leaf area,NA,9.72,mm2 mg-1,1
248,Thymelaeaceae,Dirca,Dirca occidentalis,Specific leaf area,NA,23.2,mm2 mg-1,1
249,Hydrophyllaceae,Eriodictyon,Eriodictyon californicum,Specific leaf area,NA,4.77,mm2 mg-1,1
250,Hydrophyllaceae,Eriodictyon,Eriodictyon crassifolium var. nigrescens,Specific leaf area,NA,4.64,mm2 mg-1,1
251,Asteraceae,Eriophyllum,Eriophyllum confertiflorum var. confertiflorum,Specific leaf area,NA,13.4,mm2 mg-1,1
252,Sterculiaceae,Fremontodendron,Fremontodendron californicum,Specific leaf area,NA,3.93,mm2 mg-1,2
253,Garryaceae,Garrya,Garrya congdonii,Specific leaf area,NA,5.34,mm2 mg-1,3
254,Garryaceae,Garrya,Garrya elliptica,Specific leaf area,NA,4.97,mm2 mg-1,8
255,Garryaceae,Garrya,Garrya flavescens,Specific leaf area,NA,5.85,mm2 mg-1,2
256,Garryaceae,Garrya,Garrya fremontii,Specific leaf area,NA,4.23,mm2 mg-1,3
257,Garryaceae,Garrya,Garrya veatchii,Specific leaf area,NA,6.64,mm2 mg-1,2
258,Rosaceae,Heteromeles,Heteromeles arbutifolia,Specific leaf area,NA,5.69,mm2 mg-1,22
259,Rosaceae,Holodiscus,Holodiscus discolor,Specific leaf area,NA,23,mm2 mg-1,3
260,Juglandaceae,Juglans,Juglans californica var. hindsii,Specific leaf area,NA,43.2,mm2 mg-1,1
261,Lamiaceae,Lepechinia,Lepechinia calycina,Specific leaf area,NA,12,mm2 mg-1,1
262,Caprifoliaceae,Lonicera,Lonicera hispidula var. vacillans,Specific leaf area,NA,16.4,mm2 mg-1,1
263,Fabaceae,Lotus,Lotus scoparius var. scoparius,Specific leaf area,NA,8.96,mm2 mg-1,1
264,Rosaceae,Lyonothamnus,Lyonothamnus floribundus ssp. aspleniifolius,Specific leaf area,NA,5.81,mm2 mg-1,2
265,Anacardiaceae,Malosma,Malosma laurina,Specific leaf area,NA,6.65,mm2 mg-1,8
266,Rosaceae,Malus,Malus fusca,Specific leaf area,NA,16.7,mm2 mg-1,2
