species,chilefornia_northbay,chilefornia_california,fia_northbay,fia_california
Celtis laevigata,NA,NA,0,0
Celtis occidentalis,NA,NA,0,0
Cephalanthus occidentalis,53,506,NA,NA
Cercis canadensis,NA,NA,0,0
Cercocarpus ledifolius,NA,NA,0,250
Cercocarpus montanus,241,2671,NA,NA
Chamaecyparis lawsoniana,4,338,0,25
Chamaecyparis nootkaensis,0,22,NA,NA
Chamaecyparis nootkatensis,NA,NA,0,0
Chamaecyparis thyoides,NA,NA,0,0
Chilopsis linearis,0,1054,NA,NA
Chrysolepis chrysophylla,244,771,13,107
Citronella mucronata,0,0,NA,NA
Condalia globosa,0,119,NA,NA
Condalia hookeri,NA,NA,0,0
Cordia decandra,0,0,NA,NA
Cornus florida,NA,NA,0,0
Cornus glabrata,158,552,NA,NA
Cornus nuttallii,130,1267,3,168
Cornus sericea,114,1660,NA,NA
Cornus sessilis,0,267,NA,NA
Corylus cornuta,253,1096,NA,NA
Corynabutilon vitifolium,0,0,NA,NA
Crataegus crus-galli,NA,NA,0,0
Crataegus douglasii,51,194,NA,NA
Crinodendron hookerianum,0,0,NA,NA
Crinodendron patagua,0,0,NA,NA
Cryptocarya alba,0,0,NA,NA
Dasyphyllum diacanthoides,0,0,NA,NA
Dasyphyllum excelsum,0,0,NA,NA
Dendromecon harfordii,0,288,NA,NA
Dendromecon rigida,203,2141,NA,NA
Desfontainia fulgens,0,0,NA,NA
Diospyros texana,NA,NA,0,0
Diospyros virginiana,NA,NA,0,0
Discaria chacaye,0,0,NA,NA
Drimys winteri,0,0,NA,NA
Embothrium coccineum,0,0,NA,NA
Erythrina flabelliformis,0,0,NA,NA
Escallonia angustifolia,0,0,NA,NA
Escallonia myrtoidea,0,0,NA,NA
Escallonia pulverulenta,0,0,NA,NA
Escallonia revoluta,0,0,NA,NA
Escallonia rubra,0,0,NA,NA
Eucryphia cordifolia,0,0,NA,NA
Eucryphia glutinosa,0,0,NA,NA
Euonymus occidentalis,89,414,NA,NA
Fagus grandifolia,NA,NA,0,0
Fitzroya cupressoides,0,0,NA,NA
Frangula californica,584,4510,NA,NA
Frangula purshiana,65,660,NA,NA
Fraxinus americana,NA,NA,0,0
Fraxinus anomala,0,94,NA,NA
Fraxinus dipetala,88,848,NA,NA
Fraxinus latifolia,266,830,9,40
Fraxinus nigra,NA,NA,0,0
Fraxinus pennsylvanica,NA,NA,0,0
Fraxinus quadrangulata,NA,NA,0,0
Fraxinus velutina,0,498,NA,NA
Garrya congdonii,104,228,NA,NA
Garrya elliptica,226,720,NA,NA
Garrya flavescens,81,1171,NA,NA
Garrya fremontii,181,924,NA,NA
Garrya veatchii,3,773,NA,NA
Geoffroea decorticans,0,0,NA,NA
Gevuina avellana,0,0,NA,NA
Gleditsia triacanthos,NA,NA,0,0
Gomortega keule,0,0,NA,NA
Gordonia lasianthus,NA,NA,0,0
Gymnocladus dioicus,NA,NA,0,0
Haplorhus peruviana,0,0,NA,NA
Hesperocyparis bakeri,0,167,NA,NA
Hesperocyparis forbesii,0,122,NA,NA
Hesperocyparis goveniana,26,124,NA,NA
Hesperocyparis macnabiana,233,477,NA,NA
Hesperocyparis macrocarpa,4,120,NA,NA
Hesperocyparis sargentii,480,621,NA,NA
Heteromeles arbutifolia,398,4035,NA,NA
Ilex opaca,NA,NA,0,0
Jubaea chilensis,0,0,NA,NA
Juglans californica,14,1141,NA,NA
Juglans cinerea,NA,NA,0,0
Juglans hindsii,60,487,NA,NA
Juglans nigra,NA,NA,0,0
Juniperus ashei,NA,NA,0,0
Juniperus californica,17,1017,1,131
Juniperus coahuilensis,NA,NA,0,0
Juniperus communis,0,383,NA,NA
Juniperus deppeana,NA,NA,0,0
Juniperus grandis,0,438,NA,NA
Juniperus monosperma,NA,NA,0,0
Juniperus occidentalis,4,1565,0,487
Juniperus osteosperma,0,557,0,57
Juniperus pinchotii,NA,NA,0,0
Juniperus scopulorum,0,4,0,0
Juniperus virginiana,NA,NA,0,0
Kageneckia angustifolia,0,0,NA,NA
Kageneckia oblonga,0,0,NA,NA
Karwinskia humboldtiana,0,0,NA,NA
Koeberlinia spinosa,0,41,NA,NA
Larix laricina,NA,NA,0,0
Larix lyallii,0,0,NA,NA
Larix occidentalis,0,0,0,1
Latua pubiflora,0,0,NA,NA
Laurelia sempervirens,0,0,NA,NA
Laureliopsis philippiana,0,0,NA,NA
Legrandia concinna,0,0,NA,NA
Lepidospartum squamatum,0,1289,NA,NA
Liquidambar styraciflua,NA,NA,0,1
Liriodendron tulipifera,NA,NA,0,0
Lithocarpus densiflorus,NA,NA,323,930
Lithraea caustica,0,0,NA,NA
Lomatia dentata,0,0,NA,NA
Lomatia ferruginea,0,0,NA,NA
Lomatia hirsuta,0,0,NA,NA
Luma apiculata,0,0,NA,NA
Luma chequen,0,0,NA,NA
Lyonothamnus floribundus,0,492,NA,NA
Maclura pomifera,NA,NA,0,0
Magnolia acuminata,NA,NA,0,0
Magnolia fraseri,NA,NA,0,0
Magnolia grandiflora,NA,NA,0,0
Magnolia macrophylla,NA,NA,0,0
Magnolia virginiana,NA,NA,0,0
Malosma laurina,0,2379,NA,NA
Malus fusca,2,86,NA,NA
Maytenus boaria,0,0,NA,NA
Maytenus magellanica,0,0,NA,NA
Maytenus phyllanthoides,0,0,NA,NA
Melia azedarach,NA,NA,0,0
Monttea chilensis,0,0,NA,NA
Morella californica,193,509,NA,NA
Morella pavonis,0,0,NA,NA
Morus alba,NA,NA,0,0
Morus rubra,NA,NA,0,0
Myrceugenia chrysocarpa,0,0,NA,NA
Myrceugenia colchaguensis,0,0,NA,NA
Myrceugenia correifolia,0,0,NA,NA
Myrceugenia exsucca,0,0,NA,NA
Myrceugenia obtusa,0,0,NA,NA
Myrceugenia ovata,0,0,NA,NA
Myrceugenia parvifolia,0,0,NA,NA
Myrceugenia planipes,0,0,NA,NA
Nothofagus alessandri,0,0,NA,NA
Nothofagus alpina,0,0,NA,NA
Nothofagus antarctica,0,0,NA,NA
Nothofagus betuloides,0,0,NA,NA
Nothofagus dombeyi,0,0,NA,NA
Nothofagus glauca,0,0,NA,NA
Nothofagus macrocarpa,0,0,NA,NA
Nothofagus nitida,0,0,NA,NA
Nothofagus obliqua,0,0,NA,NA
Nothofagus pumilio,0,0,NA,NA
Notholithocarpus densiflorus,399,1506,NA,NA
Nyssa aquatica,NA,NA,0,0
Nyssa biflora,NA,NA,0,0
Nyssa sylvatica,NA,NA,0,0
Oemleria cerasiformis,187,846,NA,NA
Olneya tesota,0,367,NA,NA
Ostrya virginiana,NA,NA,0,0
Otholobium glandulosum,0,0,NA,NA
Ovidia andina,0,0,NA,NA
Oxydendrum arboreum,NA,NA,0,0
Parkinsonia florida,0,333,NA,NA
Parkinsonia microphylla,0,117,NA,NA
Paulownia tomentosa,NA,NA,0,0
Persea borbonia,NA,NA,0,0
Persea lingue,0,0,NA,NA
Peucephyllum schottii,0,831,NA,NA
Peumus boldus,0,0,NA,NA
Picea abies,NA,NA,0,0
Picea breweriana,0,221,NA,NA
Picea engelmannii,0,40,0,2
Picea glauca,0,0,0,0
Picea mariana,NA,NA,0,0
Picea pungens,NA,NA,0,0
Picea rubens,NA,NA,0,0
Picea sitchensis,32,204,0,24
Pilgerodendron uviferum,0,0,NA,NA
Pinus albicaulis,NA,NA,0,83
Pinus aristata,NA,NA,0,1
Pinus attenuata,NA,NA,15,119
Pinus balfouriana,0,382,NA,NA
Pinus banksiana,NA,NA,0,0
Pinus clausa,NA,NA,0,0
Pinus contorta,221,1912,2,434
Pinus discolor,NA,NA,0,0
Pinus echinata,NA,NA,0,0
Pinus edulis,NA,NA,0,0
Pinus elliottii,NA,NA,0,0
Pinus flexilis,0,460,0,21
Pinus glabra,NA,NA,0,0
Pinus jeffreyi,9,430,3,901
Pinus lambertiana,36,439,38,1241
Pinus longaeva,0,247,NA,NA
Pinus monophylla,0,632,0,291
Pinus monticola,3,851,1,296
Pinus palustris,NA,NA,0,0
Pinus ponderosa,142,2445,84,1923
Pinus pungens,NA,NA,0,0
Pinus quadrifolia,0,96,NA,NA
Pinus radiata,0,105,NA,NA
Pinus resinosa,NA,NA,0,0
Pinus rigida,NA,NA,0,0
Pinus sabiniana,183,1441,53,502
Pinus serotina,NA,NA,0,0
Pinus strobiformis,NA,NA,0,0
Pinus strobus,NA,NA,0,0
Pinus sylvestris,NA,NA,0,0
Pinus taeda,NA,NA,0,0
Pinus virginiana,NA,NA,0,0
Pitavia punctata,0,0,NA,NA
Planera aquatica,NA,NA,0,0
Platanus occidentalis,NA,NA,0,0
Platanus racemosa,9,2189,NA,NA
Podocarpus nubigenus,0,0,NA,NA
Podocarpus salignus,0,0,NA,NA
Polylepis rugulosa,0,0,NA,NA
Polylepis tarapacana,0,0,NA,NA
Populus angustifolia,0,27,0,0
Populus balsamifera,10,694,0,21
Populus deltoides,NA,NA,0,0
Populus fremontii,60,1645,NA,NA
Populus grandidentata,NA,NA,0,0
Populus tremuloides,1,671,0,46
Porlieria chilensis,0,0,NA,NA
Pouteria splendens,0,0,NA,NA
Prosopis alba,0,0,NA,NA
Prosopis chilensis,0,0,NA,NA
Prosopis glandulosa,0,1043,0,7
Prosopis pubescens,0,237,NA,NA
Prosopis tamarugo,0,0,NA,NA
Prosopis velutina,NA,NA,0,0
Prumnopitys andina,0,0,NA,NA
Prunus americana,NA,NA,0,0
Prunus avium,NA,NA,0,0
Prunus emarginata,91,1985,2,29
Prunus fremontii,0,554,NA,NA
Prunus ilicifolia,14,2086,NA,NA
Prunus pensylvanica,NA,NA,0,0
Prunus serotina,NA,NA,0,0
Prunus subcordata,94,573,NA,NA
Prunus virginiana,145,1538,1,5
Pseudotsuga menziesii,625,2910,511,2517
Psorothamnus spinosus,0,677,NA,NA
Ptelea crenulata,55,367,NA,NA
Quercus agrifolia,140,1432,119,441
Quercus alba,NA,NA,0,0
Quercus arizonica,NA,NA,0,0
Quercus berberidifolia,186,1582,NA,NA
Quercus bicolor,NA,NA,0,0
Quercus cedrosensis,0,20,NA,NA
Quercus chrysolepis,368,4327,177,1312
Quercus coccinea,NA,NA,0,0
Quercus douglasii,236,2010,56,824
Quercus durata,479,1292,NA,NA
Quercus ellipsoidalis,NA,NA,0,0
Quercus emoryi,NA,NA,0,0
Quercus falcata,NA,NA,0,0
Quercus gambelii,NA,NA,0,0
Quercus garryana,369,1517,107,361
Quercus grisea,NA,NA,0,0
Quercus hypoleucoides,NA,NA,0,0
Quercus ilicifolia,NA,NA,0,0
Quercus imbricaria,NA,NA,0,0
Quercus incana,NA,NA,0,0
Quercus john-tuckeri,0,451,NA,NA
Quercus kelloggii,187,1208,239,1604
Quercus laevis,NA,NA,0,0
Quercus laurifolia,NA,NA,0,0
Quercus lobata,284,2044,66,168
Quercus lyrata,NA,NA,0,0
Quercus macrocarpa,NA,NA,0,0
Quercus margarettiae,NA,NA,0,0
Quercus marilandica,NA,NA,0,0
Quercus michauxii,NA,NA,0,0
Quercus minima,NA,NA,0,0
Quercus muehlenbergii,NA,NA,0,3
Quercus nigra,NA,NA,0,0
Quercus oblongifolia,0,2,NA,NA
Quercus pagoda,NA,NA,0,0
Quercus palmeri,1,187,NA,NA
Quercus palustris,NA,NA,0,0
Quercus parvula,134,508,NA,NA
Quercus phellos,NA,NA,0,0
Quercus prinus,NA,NA,0,0
Quercus rubra,NA,NA,0,0
Quercus rugosa,NA,NA,0,0
Quercus shumardii,NA,NA,0,0
Quercus stellata,NA,NA,0,0
Quercus texana,NA,NA,0,0
Quercus turbinella,0,186,NA,NA
Quercus velutina,NA,NA,0,0
Quercus virginiana,NA,NA,0,0
Quercus wislizeni,452,2903,82,566
Quillaja saponaria,0,0,NA,NA
Raukaua laetevirens,0,0,NA,NA
Rhaphithamnus spinosus,0,0,NA,NA
Rhododendron macrophyllum,202,391,NA,NA
Rhus integrifolia,5,1985,NA,NA
Rhus kearneyi,0,0,NA,NA
Rhus ovata,0,1962,NA,NA
Robinia neomexicana,0,10,NA,NA
Robinia pseudoacacia,NA,NA,0,0
Sabal palmetto,NA,NA,0,0
Salix alaxensis,0,0,NA,NA
Salix amygdaloides,0,3,0,0
Salix barclayi,0,0,NA,NA
Salix bebbiana,0,6,0,0
Salix bonplandiana,0,0,NA,NA
Salix breweri,115,271,NA,NA
Salix exigua,193,2803,NA,NA
Salix geyeriana,0,410,NA,NA
Salix glauca,0,0,NA,NA
Salix gooddingii,22,1303,NA,NA
Salix hookeriana,63,324,NA,NA
Salix humboldtiana,0,0,NA,NA
Salix lasiandra,90,1069,NA,NA
Salix lasiolepis,360,4544,NA,NA
Salix ligulifolia,0,146,NA,NA
Salix lutea,1,345,NA,NA
Salix maccalliana,0,0,NA,NA
Salix melanopsis,76,616,NA,NA
Salix myrtillifolia,0,1,NA,NA
Salix nigra,NA,NA,0,1
Salix planifolia,0,171,NA,NA
Salix prolixa,1,41,NA,NA
Salix pulchra,0,0,NA,NA
Salix scouleriana,108,1289,NA,NA
Salix sessilifolia,0,0,NA,NA
Salix sitchensis,155,552,NA,NA
Salix taxifolia,0,0,NA,NA
Salix tracyi,6,52,NA,NA
Sambucus racemosa,122,909,NA,NA
Sassafras albidum,NA,NA,0,0
Saxegothaea conspicua,0,0,NA,NA
Schinus latifolius,0,0,NA,NA
Schinus molle,0,0,NA,NA
Schinus patagonicus,0,0,NA,NA
Schinus polygamus,0,0,NA,NA
Senegalia greggii,0,829,NA,NA
Sequoia sempervirens,167,497,258,494
Sequoiadendron giganteum,0,128,NA,NA
Shepherdia argentea,0,150,NA,NA
Sideroxylon lanuginosum,NA,NA,0,0
Sophora cassioides,0,0,NA,NA
Sophora macrocarpa,0,0,NA,NA
Sorbus americana,NA,NA,0,0
Sorbus scopulina,0,249,NA,NA
Sorbus sitchensis,0,35,NA,NA
Staphylea bolanderi,0,135,NA,NA
Styrax redivivus,47,681,NA,NA
Taxodium ascendens,NA,NA,0,0
Taxodium distichum,NA,NA,0,0
Taxus brevifolia,57,529,1,41
Tepualia stipularis,0,0,NA,NA
Thuja occidentalis,NA,NA,0,0
Thuja plicata,1,121,0,5
Tilia americana,NA,NA,0,0
Torreya californica,306,684,NA,NA
Triadica sebifera,NA,NA,0,0
Tsuga canadensis,NA,NA,0,0
Tsuga heterophylla,72,184,12,62
Tsuga mertensiana,0,532,0,89
Ulmus alata,NA,NA,0,0
Ulmus americana,NA,NA,0,0
Ulmus crassifolia,NA,NA,0,0
Ulmus pumila,NA,NA,0,0
Ulmus rubra,NA,NA,0,0
Ulmus thomasii,NA,NA,0,0
Umbellularia californica,926,4001,190,481
Vauquelinia californica,0,0,NA,NA
Washingtonia filifera,0,514,NA,NA
Weinmannia trichosperma,0,0,NA,NA
Yucca brevifolia,0,1050,NA,NA
Ziziphus obtusifolia,0,155,NA,NA
